stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,transport_type
18037,18037,КРАСНОГВАРДЕЙСКАЯ ПЛ.,59.941761,30.412838,0,2,bus
18035,18035,"СТ. МЕТРО ""КИРОВСКИЙ ЗАВОД""",59.880141,30.262753,0,2,bus
18034,18034,УЛ. МАРШАЛА ГОВОРОВА,59.879145,30.266583,0,2,bus
18033,18033,УЛ. ВАСИ АЛЕКСЕЕВА,59.877880,30.271583,0,2,bus
17998,17998,"ОКТЯБРЬСКАЯ НАБ., 66",59.879522,30.454520,0,2,bus
17992,17992,"ПР. СОЛИДАРНОСТИ, УГ. УЛ. КОЛЛОНТАЙ",59.924841,30.489805,0,2,bus
17994,17994,"УЛ. ЧУДНОВСКОГО, УГ. УЛ. КРИЖИЖАНСКОГО",59.931334,30.477018,0,2,bus
17995,17995,"УЛ.ЧУДНОВСКОГО,6",59.929126,30.476426,0,2,bus
17989,17989,ПР. СОЛИДАРНОСТИ,59.917510,30.494700,0,2,bus
18012,18012,"УЛ. ХИМИКОВ , УГ. УЛ. КОММУНЫ",59.971248,30.479415,0,2,bus
18014,18014,"ОКТЯБРЬСКАЯ НАБ., 34",59.905828,30.434436,0,2,bus
18009,18009,"УЛ. ПОТАПОВА, УГ.ИРИНОВСКОГО ПР.",59.959106,30.477732,0,2,bus
18008,18008,"ОКТЯБРЬСКАЯ НАБ., 38",59.903396,30.438287,0,2,bus
18011,18011,УЛ. ХИМИКОВ 18,59.968632,30.474645,0,2,bus
18010,18010,"ОКТЯБРЬСКАЯ НАБ., 38",59.903235,30.437708,0,2,bus
18004,18004,"ОКТЯБРЬСКАЯ НАБ., 50",59.888705,30.448565,0,2,bus
18006,18006,"ОКТЯБРЬСКАЯ НАБ., 42",59.895659,30.446473,0,2,bus
18001,18001,УЛ. НОВОСЕЛОВ,59.882843,30.450969,0,2,bus
18000,18000,УЛ. НОВОСЕЛОВ,59.882903,30.451224,0,2,bus
18002,18002,"ОКТЯБРЬСКАЯ НАБ., 54",59.884663,30.449992,0,2,bus
