trip_id,start_time,end_time,headway_secs,exact_times
9449130,16:00,20:00,18,0
9449157,16:00,20:00,18,0
9449063,16:00,20:00,18,0
9449176,16:00,20:00,18,0
9449110,16:00,20:00,18,0
9449139,10:00,16:00,19,0
9449149,10:00,16:00,19,0
9449077,10:00,16:00,19,0
9449122,10:00,16:00,19,0
9449141,10:00,16:00,19,0
9449055,10:00,16:00,19,0
9449151,10:00,16:00,19,0
9449101,10:00,16:00,19,0
9449079,10:00,16:00,19,0
9449124,10:00,16:00,19,0
9449161,10:00,16:00,19,0
9449057,10:00,16:00,19,0
9449153,10:00,16:00,19,0
9449103,10:00,16:00,19,0
9449144,10:00,16:00,19,0
9449081,10:00,16:00,19,0
9449172,10:00,16:00,19,0
9449126,10:00,16:00,19,0
9449163,10:00,16:00,19,0
9449048,06:00,10:00,27,0
9449094,06:00,10:00,27,0
9449072,06:00,10:00,27,0
9449117,06:00,10:00,27,0
9449050,06:00,10:00,27,0
9449096,06:00,10:00,27,0
9449074,06:00,10:00,27,0
9449119,06:00,10:00,27,0
9449052,06:00,10:00,27,0
9449098,06:00,10:00,27,0
9449177,20:00,24:00,22,0
9449111,20:00,24:00,22,0
9449168,20:00,24:00,22,0
9449089,20:00,24:00,22,0
9449134,20:00,24:00,22,0
9449179,20:00,24:00,22,0
9449067,20:00,24:00,22,0
9449113,20:00,24:00,22,0
9449091,20:00,24:00,22,0
9449136,20:00,24:00,22,0
9449069,20:00,24:00,22,0
9449060,16:00,20:00,17,0
9449106,16:00,20:00,17,0
9449146,16:00,20:00,17,0
9449084,16:00,20:00,17,0
9449174,16:00,20:00,17,0
9449129,16:00,20:00,17,0
9449156,16:00,20:00,17,0
9449062,16:00,20:00,17,0
9449108,16:00,20:00,17,0
9449086,16:00,20:00,17,0
9449166,16:00,20:00,17,0
9449131,16:00,20:00,17,0
9449158,16:00,20:00,17,0
9449064,16:00,20:00,17,0
9449894,10:00,16:00,15,0
9449949,10:00,16:00,15,0
9449991,10:00,16:00,15,0
9450033,10:00,16:00,15,0
9450012,10:00,16:00,15,0
9449970,10:00,16:00,15,0
9449896,10:00,16:00,15,0
9450046,10:00,16:00,15,0
9449929,10:00,16:00,15,0
9449951,10:00,16:00,15,0
9450054,10:00,16:00,15,0
9450014,10:00,16:00,15,0
9449972,10:00,16:00,15,0
9449898,10:00,16:00,15,0
9449994,10:00,16:00,15,0
9450048,10:00,16:00,15,0
9449931,10:00,16:00,15,0
9449954,10:00,16:00,15,0
9449918,10:00,16:00,15,0
9450056,10:00,16:00,15,0
9450016,10:00,16:00,15,0
9449975,10:00,16:00,15,0
9449901,10:00,16:00,15,0
9450036,10:00,16:00,15,0
9449889,06:00,10:00,14,0
9449911,06:00,10:00,14,0
9449944,06:00,10:00,14,0
9449986,06:00,10:00,14,0
9450007,06:00,10:00,14,0
9449924,06:00,10:00,14,0
9449965,06:00,10:00,14,0
9450029,06:00,10:00,14,0
9449891,06:00,10:00,14,0
9449913,06:00,10:00,14,0
9450041,06:00,10:00,14,0
9449946,06:00,10:00,14,0
9449988,06:00,10:00,14,0
9450009,06:00,10:00,14,0
9449926,06:00,10:00,14,0
9449967,06:00,10:00,14,0
9450031,06:00,10:00,14,0
